Delete,UniqueSubjNum,SubjNum,ExpName,Cat,Condition,SDtoday,FRtoday,Time,Time2,Date,DayofWeek,Month,NumSubs,SameGeNder,SameGenWhat,CellPhone,Internet,PaidPool,Late,SignUp,Age,Gender,NativeLang,SecondLang,AdditionalLang,SecondProficiency,Bilingual,AcademicYear,ExamLastWeek,ExamnextWeek,BusyDay,ClassBefore,ClassAfter,FirstExp,OtherExps,LastMealWhen,LastMealWhat,Breakfast,BreakfastWhat,Alcohol,DrinksPerWeek,CoffeeTea,Exercise,ExerciseFreq,SleepAvg,SleepLastNight,Tired,ExpDifficulty,GiveUp,MostlyGuess,1_Block,2_Block,3_Block,4_Block,Total
0,140,153,Executive Function Battery,RD,RDFirst,1,0,13,2Early Afternoon,2015-12-11,4_Thu,10_Oct,NA,NA,NA,NA,NA,Pool,0,1,18,Male,Cantonese,English,NA,3,1,1,0,1,1,1,1,0,1,3,rice and chicken,1,rice and chicken,1,2,1,1,5,7,6,6,4,0,0,0.8375,0.9,0.925,0.9375,0.695132797
0,189,12,Executive Function Timing,II,Control,0,1,15.75,2Early Afternoon,2026-12-01,4_Thu,01_Jan,5,0,NA,0,0,Pool,0,1,18,Male,Cantonese,English,NA,3,1,1,0,0,0,1,0,0,4,4,Salad and Milk,1,BBQ pork bun,0,0,1,0,0,6,7,6,4,1,0,0.6125,0.55,0.65,0.5875,0.6
0,239,168,Executive Function Timing,RD,Control,1,0,11.5,1Morning,2022-12-02,4_Thu,03_Mar,4,0,NA,0,0,Pool,0,1,18,Male,Cantonese,English,NA,4,1,1,1,0,0,0,0,1,0,1,"Breakfast - grapes, apple juice, sausage, eggs",1,"grapes, apple juice, sausage, eggs",1,2,1,1,4,8,7,3,2,0,0,0.5125,0.825,0.825,0.7625,0.7313
0,393,115,Verbal Over Stim,RD,Control,1,0,12,1Morning,2019-12-01,4_Thu,01_Jan,3,0,NA,0,0,Pool,0,1,18,Female,Cantonese,English,NA,4,1,1,0,0,0,1,1,0,5,3.5,Breakfast,1,Waffles,0,NA,1,1,2,7.5,8,5,3,0,0,0.725,0.8875,0.875,0.925,0.8531
0,395,118,Verbal Over Stim,RD,Control,1,0,13,2Early Afternoon,2019-12-01,4_Thu,01_Jan,3,1,M,0,0,Pool,0,1,19,Male,Cantonese,English,NA,4,1,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7375,0.8625,0.9375,0.7344
0,453,18,WCST Exec Fcn,II,IIFirst,1,1,20,3LateAfternoon,2019-11-09,1_Mon,09_Sep,4,0,NA,0,0,Pool,0,1,18,Male,Cantonese,English,NA,NA,1,1,0,0,1,0,0,1,1,1,Cafeteria food,1,Cafeteria food,1,2,1,1,3,8,8,3,NA,NA,NA,0.625,0.6125,0.6625,0.7625,0.6656
0,469,34,WCST Exec Fcn,II,IIFirst,1,1,17,3LateAfternoon,2020-11-09,2_Tue,09_Sep,4,0,NA,0,0,Pool,5,1,21,Female,Cantonese,English,NA,NA,1,4,0,0,0,1,0,0,10,NA,NA,1,Muffin,1,1,1,1,2,8,6,6,NA,NA,NA,0.675,0.5875,0.5375,0.675,0.6188
0,492,57,WCST Exec Fcn,RD,RDFirst,1,1,11,1Morning,2003-11-10,1_Mon,10_Oct,4,1,F,0,0,Pool,0,1,18,Female,Dutch,English,NA,NA,1,1,0,0,1,1,1,0,2,3,Oatmeal,1,Oatmeal,0,0,1,1,1,8.5,6,4,NA,NA,NA,0.7875,0.8625,0.8875,0.8875,0.8563
0,1,1,Executive Function Battery,II,RDFirst,0,1,12,1Morning,2024-12-04,2_Tue,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Female,English,None,NA,0,0,1,1,0,1,0,0,0,9,5,Breakfast,1,"Bacon, Yogurt, Fruit, and Potatoes",1,6,1,0,0,5,1,7,6,0,1,0.575,0.7,0.725,0.6,0.65
0,2,2,Executive Function Battery,RD,IIFirst,1,0,14,2Early Afternoon,2017-12-04,2_Tue,04_Apr,NA,NA,NA,NA,NA,Pool,10,1,18,Female,English,Korean,NA,3,1,1,1,1,0,0,0,0,6,1,Pasta,NA,Pasta,1,2,1,1,2,7,7,7,4,0,0,0.675,0.7,0.75,0.7875,0.7281
0,4,4,Executive Function Battery,RD,IIFirst,1,0,10.5,1Morning,2017-12-04,2_Tue,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Male,English,None,NA,0,0,1,1,1,1,0,0,0,8,2,Cereal,1,Cereal,1,8,1,1,5,7,6,2,3,0,0,0.675,0.85,0.8,0.875,0.8
0,6,6,Executive Function Battery,RD,IIFirst,1,0,12.5,1Morning,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Male,English,None,NA,0,0,1,0,1,0,0,0,0,4,4,cereal,1,cereal,1,26,1,1,4,8,6,7,5,0,0,0.7125,0.75,0.7625,0.8,0.7563
0,7,7,Executive Function Battery,II,RDFirst,0,1,14,2Early Afternoon,2017-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Female,English,None,NA,0,0,1,1,1,1,0,0,0,NA,2,fries,0,NA,0,NA,1,1,3,7,6,4,6,1,1,0.5875,0.5125,0.5,0.6125,0.5531
0,8,8,Executive Function Battery,RD,IIFirst,1,0,15,2Early Afternoon,2020-12-04,5_Fri,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Male,English,Hebrew,NA,2,1,1,1,1,1,0,0,0,4,4,pasta,1,eggs and Bacon,1,1,0,1,6,8,8,3,5,0,0,0.5125,0.5375,0.475,0.475,0.5
0,9,9,Executive Function Battery,II,RDFirst,0,1,15.5,2Early Afternoon,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Male,English,French,NA,1,1,1,1,1,1,0,0,0,8,2,BBQ chicken and pasta,1,egg sandwich,1,7,0,1,6,7,9,6,3,0,0,0.675,0.7625,0.8875,0.875,0.8
0,10,10,Executive Function Battery,RD,IIFirst,1,0,15.5,2Early Afternoon,2017-12-04,2_Tue,04_Apr,NA,NA,NA,NA,NA,Pool,20,1,24,Male,English,None,NA,0,0,1,0,1,1,0,0,0,4,5,Lunch,0,NA,0,0,1,1,1,7,8,4,3,0,0,0.75,0.925,0.9,0.85,0.8563
0,11,13,Executive Function Battery,II,RDFirst,0,1,9,1Morning,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,20,Male,English,French,NA,3,1,1,0,1,1,0,0,0,1,1,"5 eggs *over-easy, 1 coffee, and 4 bacon",1,See above,1,6,1,0,2,10,0,3,1,0,0,0.675,0.6125,0.775,0.85,0.7281
0,15,17,Executive Function Battery,II,RDFirst,0,1,10.5,1Morning,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,15,1,19,Male,English,French,NA,1,1,1,0,1,1,0,0,0,4,2,"Eggs, toast, protein shake, peanutbutter",1,"Eggs, toast, protein shake, peanutbutter",1,2,1,1,5,8,7,6,3,0,0,0.625,0.675,0.575,0.6,0.6188
0,17,19,Executive Function Battery,RD,IIFirst,1,0,10.5,1Morning,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Male,English,None,NA,0,0,1,1,1,1,0,0,0,3,10,subway,0,NA,1,10,0,1,5,7,5,5,4,0,0,0.5875,0.8,0.7375,0.7375,0.7156
0,18,20,Executive Function Battery,II,RDFirst,0,1,9,1Morning,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,4,1,19,Male,English,None,NA,0,0,1,1,1,1,0,0,0,4,1,breakfast,1,eggs bacon,1,8,1,1,3,4,4,6,5,1,0,0.55,0.6875,0.5875,0.6875,0.6281
0,19,21,Executive Function Battery,RD,IIFirst,1,0,12.5,1Morning,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Male,English,None,NA,0,0,1,0,1,1,0,0,0,4,3,Breakfast.,1,"Eggs, pancakes potatoes",1,1,1,1,6,8,7,4,4,0,0,0.8625,0.9,0.925,0.9,0.8969
0,20,22,Executive Function Battery,II,RDFirst,0,1,15.5,2Early Afternoon,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Male,English,None,NA,0,0,1,1,1,1,0,0,0,6,4,pasta,1,cereal,1,6,0,1,2,7,4,6,4,1,0,0.725,0.825,0.825,0.8125,0.7969
0,21,23,Executive Function Battery,RD,IIFirst,1,0,14,2Early Afternoon,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,13,1,24,Male,English,French,Farsi,2,1,1,1,1,0,0,0,0,3,2,"chicken, pasta, and ketchup",1,"chicken, pasta, ketchup",1,7,0,1,3,7,5,4,3,0,0,0.85,0.925,0.9,0.9,0.8938
0,22,24,Executive Function Battery,II,RDFirst,0,1,13,2Early Afternoon,2019-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Male,English,None,NA,0,0,1,1,1,1,0,0,1,4,5.5,Rice with meat and vegetables,1,Eggs and Bacon,1,2,1,0,NA,6,5,6,3,0,0,0.625,0.6875,0.75,0.7,0.6906
0,24,26,Executive Function Battery,II,RDFirst,0,1,16,3LateAfternoon,2019-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Male,English,French,NA,1,1,1,0,1,1,0,1,0,1,2,sandwich,1,cereal,0,24,0,1,8,7,7,4,1,0,0,0.5625,0.725,0.6625,0.7125,0.6656
0,25,28,Executive Function Battery,RD,IIFirst,1,0,14.5,2Early Afternoon,2019-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,19,Female,English,French,Spanish,4,1,1,1,1,1,0,0,0,1,NA,subway,1,Nthing today,1,2,1,1,5,6,8,1,2,0,0,0.675,0.7625,0.8125,0.85,0.775
0,26,29,Executive Function Battery,II,RDFirst,0,1,14,2Early Afternoon,2018-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Pool,10,1,19,Male,English,None,NA,0,0,1,1,1,1,0,0,0,3,NA,no idea,0,Nthing,1,9,1,1,3,8,9,1,1,1,0,0.65,0.4875,0.575,0.5125,0.5563
0,28,31,Executive Function Battery,II,RDFirst,0,1,12,1Morning,2024-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,4,1,18,Female,English,None,NA,0,0,1,1,0,1,0,0,0,4,16,salad,1,didn't this morning,1,8,1,1,2,7,7,5,6,0,0,0.5625,0.775,0.7375,0.7375,0.7031
0,29,32,Executive Function Battery,RD,IIFirst,1,0,14.5,2Early Afternoon,2019-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,15,1,20,Female,English,Italian,NA,1,1,3,1,1,0,0,0,0,5,2,eggs,1,eggs,0,3,1,1,3,5,4,5,5,0,0,0.75,0.8375,0.85,0.8375,0.8188
0,30,33,Executive Function Battery,II,RDFirst,0,1,16,3LateAfternoon,2019-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Male,English,Mandarin,NA,1,1,1,0,1,0,0,0,0,4,9,Breakfast,1,"Hashbrowns, Bacon, Omelette, Yogurt",1,3,1,0,0,8,7,6,1,0,0,0.675,0.6875,0.6875,0.7625,0.7031
0,31,36,Executive Function Battery,RD,IIFirst,1,0,15,2Early Afternoon,2020-12-04,5_Fri,04_Apr,NA,NA,NA,NA,NA,Pool,4,1,19,Female,English,Mandarin,NA,4,1,1,1,1,1,0,0,0,3,7,Breakfast.,1,"Eggs, hashbrowns, iced tea",1,0,1,0,0,7,1,6,5,0,0,0.825,0.9,0.95,0.9125,0.8969
0,32,37,Executive Function Battery,II,RDFirst,0,1,15,2Early Afternoon,2020-12-04,5_Fri,04_Apr,NA,NA,NA,NA,NA,Pool,4,1,18,Male,English,Cantonese,NA,2,1,1,1,1,0,0,0,0,4,4,breakfast,1,"Eggs, sausages, taters, grapefruit juice",1,3,1,1,3,4,2,7,6,0,0,0.525,0.6375,0.65,0.7625,0.6438
0,34,39,Executive Function Battery,II,RDFirst,0,1,13,2Early Afternoon,2019-12-04,4_Thu,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Female,English,None,NA,0,0,1,1,1,0,0,0,0,11,2,Spiniach vegetarian wrap,0,NA,1,2,1,0,0,12,0,7,5,0,0,0.75,0.6875,0.525,0.7,0.6656
0,37,43,Executive Function Battery,RD,IIFirst,1,0,13.5,2Early Afternoon,2020-12-04,5_Fri,04_Apr,NA,NA,NA,NA,NA,Pool,5,1,21,Female,English,French,NA,3,1,3,1,0,1,0,0,0,5,NA,Eggs and toasts,1,Vector cereal with milk,1,1,1,1,4,8,5,7,3,0,0,0.5625,0.45,0.5625,0.4375,0.5031
0,38,46,Executive Function Battery,II,RDFirst,0,1,16,3LateAfternoon,2025-12-04,3_Wed,04_Apr,NA,NA,NA,NA,NA,Paid,0,0,19,Female,English,French,NA,1,1,1,1,0,0,0,0,1,0,4,"Chicken, rice, grilled vegetables.",1,"Chicken, rice, grilled vegetables.",1,5,1,1,2,8,8,4,4,0,0,0.6875,0.6625,0.7,0.7125,0.6906
0,39,47,Executive Function Battery,RD,RDFirst,1,0,15.5,2Early Afternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,4,1,17,Female,English,Vietnamese,French,3,1,1,0,0,1,0,0,0,1,5,Terriyaki chicken and rice,1,Cereal,0,0,1,1,3,7,7,6,4,0,0,0.5375,0.925,0.8625,0.8875,0.803125
0,41,49,Executive Function Battery,RD,RDFirst,1,0,15.5,2Early Afternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Female,English,Mandarin,NA,2,1,1,0,0,1,0,0,0,1,4.5,"lunch, chicken teriyaki with rice",1,canned peaches and scrambled eggs,0,0,1,0,0,7,3,7,4,0,0,0.775,0.9,0.8125,0.775,0.815625
0,42,50,Executive Function Battery,RD,IIFirst,1,0,15.5,2Early Afternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,0,1,19,Male,English,Hindi,NA,1,1,3,0,0,1,1,0,1,0,3,Vegetarian Burger,1,Apple and granola bar,1,2,0,1,1,7,6,5,1,0,0,0.75,0.8875,0.8375,0.875,0.8375
0,43,51,Executive Function Battery,RD,RDFirst,1,0,17,3LateAfternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,3,1,18,Female,English,None,NA,0,0,1,0,0,1,1,0,0,2,3,subway Sandwich,1,cereal,1,3,0,0,0,8,7,7,2,0,0,0.675,0.75,0.7875,0.775,0.746875
0,44,52,Executive Function Battery,RD,IIFirst,1,0,17,3LateAfternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Female,English,Mandarin,NA,4,1,1,0,0,1,1,0,1,0,6.5,"Pasta, chicken",0,NA,1,1,1,1,2,8,4,3,3,0,0,0.775,0.9,0.825,0.875,0.84375
0,45,53,Executive Function Battery,RD,RDFirst,1,0,17,3LateAfternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Female,English,French,NA,4,1,1,0,0,1,1,0,1,0,5,salad,1,omlet and  suasages,1,2,1,1,7,7,6,6,3,1,0,0.8,0.875,0.875,0.875,0.85625
0,46,54,Executive Function Battery,RD,IIFirst,1,0,17,3LateAfternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,3,1,17,Female,English,None,NA,0,0,1,0,0,1,1,0,0,1,5,Veggie sandwhich,0,NA,1,2,1,1,14,9,7,6,2,0,0,0.5875,0.7625,0.8375,0.85,0.759375
0,49,57,Executive Function Battery,RD,RDFirst,1,0,18.5,3LateAfternoon,2024-12-09,1_Mon,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Male,English,None,NA,0,0,1,0,0,0,0,0,0,1,1.5,"Pork, dumplings, and onion rings",1,Toast with peanut butter and a banana,0,0,0,1,3,8,6,6,3,0,0,0.6875,0.8125,0.8375,0.8625,0.8
0,51,59,Executive Function Battery,II,RDFirst,0,1,13,2Early Afternoon,2003-12-10,3_Wed,09_Sep,NA,NA,NA,0,0,Pool,0,1,19,Female,English,French,NA,1,1,1,0,0,1,1,1,0,3,6,breakfast,1,"bacon, bagel and cream cheese",1,1,1,1,2,7,7,7,4,1,0,0.6,0.7125,0.6625,0.7125,0.671875
0,52,60,Executive Function Battery,II,IIFirst,0,1,9.5,1Morning,2002-12-10,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Male,English,French,Cantonese,3,1,1,0,1,0,0,0,0,2,11,Cereal,1,Cereal (normally),1,1,1,1,5,6,6,4,2,0,0,0.7875,0.725,0.8,0.7875,0.775
0,54,62,Executive Function Battery,II,IIFirst,0,1,11,1Morning,2002-12-10,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Male,English,Hindi,NA,2,1,1,0,0,0,1,0,0,2,3,"bread, apple",1,"bead, apple",1,1,0,0,3,8,8,6,2,0,0,0.625,0.6,0.7875,0.675,0.671875
0,55,63,Executive Function Battery,II,RDFirst,0,1,11,1Morning,2002-12-10,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,None,NA,0,0,1,0,0,1,1,1,0,3,0.5,Peanut butter and banana in a tortilla wrap,1,Two english muffins with peanut butter and orange juice,1,1,0,1,13,6,6,3,3,0,0,0.6875,0.7,0.6875,0.7375,0.703125
0,56,64,Executive Function Battery,II,IIFirst,0,1,9.5,1Morning,2002-12-10,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,Cantonese,NA,3,1,1,0,0,0,0,0,0,1,16,Noodles and orange chicken,0,NA,1,1,1,0,NA,7,6,7,2,0,0,0.7125,0.775,0.85,0.925,0.815625
0,58,66,Executive Function Battery,RD,IIFirst,1,0,12.5,1Morning,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Female,English,None,NA,0,0,1,0,0,0,1,1,0,2,NA,NA,0,NA,1,2,1,1,3,8,7,3,2,0,0,0.9,0.9625,0.875,0.9625,0.925
0,62,70,Executive Function Battery,RD,IIFirst,1,0,17,3LateAfternoon,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,French,NA,2,1,1,0,0,1,1,1,1,0,3,chicken wrap,1,banana and toast,0,0,0,1,2,6,6,6,3,0,0,0.8,0.8875,0.7125,0.85,0.8125
0,63,71,Executive Function Battery,RD,RDFirst,1,0,17,3LateAfternoon,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Female,English,None,NA,1,1,1,0,0,1,1,0,1,0,5,a wrap,1,bagel and cream cheese,1,3,1,1,1,4,1,6,2,0,0,0.8125,0.7125,0.7375,0.75,0.753125
0,65,73,Executive Function Battery,RD,RDFirst,1,0,18.5,3LateAfternoon,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,Hindi,NA,1,1,1,0,1,0,1,0,1,0,1,Chicken salad sandwich,1,Butter chicken and green tea,0,0,1,0,0,7,7,6,2,0,0,0.675,0.9,0.8625,0.9125,0.8375
0,66,74,Executive Function Battery,RD,IIFirst,1,0,18.5,3LateAfternoon,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,18,Female,English,Mandarin,NA,2,1,1,0,0,1,0,0,1,0,3,Sushi,1,Chewy bar,0,0,1,0,0,7,6,4,3,0,0,0.7,0.7625,0.925,0.875,0.815625
0,67,75,Executive Function Battery,RD,RDFirst,1,0,18.5,3LateAfternoon,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,Punjabi,French,2,1,1,0,0,1,1,0,1,0,1,Couscous and rice,1,cereal with Milk,0,0,1,1,2,6,6,5,3,1,0,0.5125,0.575,0.8875,0.825,0.7
0,68,76,Executive Function Battery,RD,IIFirst,1,0,18.5,3LateAfternoon,2025-12-09,2_Tue,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,Gujrati,NA,2,1,1,0,0,1,1,0,1,0,1,rice and pita with spinach dip,1,cereal with milk,0,0,0,0,0,6,6,6,4,0,0,0.675,0.8375,0.85,0.875,0.809375
0,69,77,Executive Function Battery,RD,RDFirst,1,0,9.5,1Morning,2026-12-09,3_Wed,09_Sep,NA,NA,NA,0,0,Pool,0,1,17,Female,English,None,NA,0,0,1,0,0,1,0,1,0,1,2,cereal,1,cereal,1,5,1,1,1,7,7,6,3,0,0,0.6875,0.925,0.9,0.825,0.834375
0,70,78,Executive Function Battery,RD,RDFirst,1,0,9.5,1Morning,2026-12-09,3_Wed,09_Sep,NA,NA,NA,0,0,Pool,8,1,19,Female,English,Korean,NA,2,1,2,0,0,1,1,0,1,0,NA,NA,1,NA,0,NA,1,1,3,7,6,4,4,0,0,0.725,0.8875,0.8625,0.9125,0.846875
0,73,82,Executive Function Battery,RD,RDFirst,1,0,11,1Morning,2026-12-09,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,0,1,18,Female,English,None,NA,0,0,1,0,0,1,1,1,0,1,1,a sandwich,1,muffin and milk,1,1,1,1,3,7,7,4,3,0,0,0.6875,0.85,0.8625,0.8125,0.803125
0,74,83,Executive Function Battery,RD,IIFirst,1,0,11,1Morning,2026-12-09,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,5,1,18,Female,English,None,NA,0,0,1,0,0,0,1,0,0,1,NA,Breakfast,1,Cheerios,1,5,1,1,6,8,7,4,3,0,0,0.825,0.8125,0.9125,0.8625,0.853125
0,76,85,Executive Function Battery,RD,IIFirst,1,0,11,1Morning,2026-12-09,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,0,1,18,Male,English,None,NA,0,0,1,0,0,0,0,0,1,0,2,Breakfast,1,Pancakes,1,1,0,1,9,10,8,3,2,0,0,0.725,0.8625,0.8,0.825,0.803125
0,77,86,Executive Function Battery,II,RDFirst,0,1,9.5,1Morning,2003-12-10,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,0,1,18,Female,English,French,NA,1,1,1,0,1,0,0,0,0,3,9,salad,1,granola bar,1,7,1,1,5,4,6,6,4,0,0,0.6375,0.6625,0.625,0.7125,0.659375
0,78,87,Executive Function Battery,II,IIFirst,0,1,13,2Early Afternoon,2004-12-10,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,0,1,18,Female,English,None,NA,0,0,1,0,0,1,1,1,0,4,4,breakfast,1,toast,1,6,1,1,1,6,6,4,4,0,0,0.6125,0.6875,0.6,0.675,0.64375
0,79,88,Executive Function Battery,II,RDFirst,0,1,13,2Early Afternoon,2003-12-10,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,0,1,17,Female,English,None,NA,0,0,1,0,1,1,0,1,0,3,1,chinese food,1,bagel and cream cheese,1,2,1,1,2,6,4,6,3,0,0,0.6375,0.725,0.6875,0.6625,0.678125
0,83,92,Executive Function Battery,RD,RDFirst,1,0,14.5,2Early Afternoon,2026-12-09,3_Wed,10_Oct,NA,NA,NA,0,0,Pool,0,1,17,Female,English,Romanian,NA,2,1,1,0,0,1,1,0,1,0,7,"Eggs, tomatoes, biscuits",1,"Eggs, tomatoes, biscuits",0,0,1,1,4,9,NA,7,2,1,0,0.75,0.8125,0.8375,0.9,0.825
